1;Tinamiformes;Tinamous;Tinamofåglar;Tinamidae;Tinamous;Tinamoer
8751;Passeriformes;Perching Birds;Tättingar;Buphagidae;Oxpeckers;Oxhackare
8754;Passeriformes;Perching Birds;Tättingar;Turdidae;Thrushes;Trastar
8922;Passeriformes;Perching Birds;Tättingar;Muscicapidae;Chats, Old World Flycatchers;Flugsnappare
9244;Passeriformes;Perching Birds;Tättingar;Cinclidae;Dippers;Strömstarar
9250;Passeriformes;Perching Birds;Tättingar;Chloropseidae;Leafbirds;Bladfåglar
9262;Passeriformes;Perching Birds;Tättingar;Dicaeidae;Flowerpeckers;Blomsterpickare
9311;Passeriformes;Perching Birds;Tättingar;Nectariniidae;Sunbirds;Solfåglar
9455;Passeriformes;Perching Birds;Tättingar;Passeridae;Old World Sparrows, Snowfinches;Sparvfinkar
9507;Passeriformes;Perching Birds;Tättingar;Ploceidae;Weavers, Widowbirds;Vävare
9617;Passeriformes;Perching Birds;Tättingar;Estrildidae;Waxbills, Munias and allies;Astrilder
9759;Passeriformes;Perching Birds;Tättingar;Viduidae;Indigobirds, Whydahs;Änkor
9780;Passeriformes;Perching Birds;Tättingar;Peucedramidae;Olive Warbler;Granlöpare
9782;Passeriformes;Perching Birds;Tättingar;Prunellidae;Accentors;Järnsparvar
9796;Passeriformes;Perching Birds;Tättingar;Motacillidae;Wagtails, Pipits;Ärlor
9862;Passeriformes;Perching Birds;Tättingar;Urocynchramidae;Przevalski's Finch;Rosenstjärtar
9864;Passeriformes;Perching Birds;Tättingar;Fringillidae;Finches;Finkar 
10084;Passeriformes;Perching Birds;Tättingar;Parulidae;New World Warblers;Skogssångare
10204;Passeriformes;Perching Birds;Tättingar;Incertae Sedis 2;Incertae Sedis 2;Incertae sedis 2
10211;Passeriformes;Perching Birds;Tättingar;Icteridae;Oropendolas, Orioles and Blackbirds;Trupialer
10321;Passeriformes;Perching Birds;Tättingar;Coerebidae;Bananaquit;Banansmygar
10323;Passeriformes;Perching Birds;Tättingar;Emberizidae;Buntings, New World Sparrows and allies;Fältsparvar
10504;Passeriformes;Perching Birds;Tättingar;Thraupidae;Tanagers and allies;Tangaror
10879;Passeriformes;Perching Birds;Tättingar;Calcariidae;Longspurs, Snow Buntings;Sporrsparvar
10886;Passeriformes;Perching Birds;Tättingar;Cardinalidae;Cardinals, Grosbeaks and allies;Kardinaler
